task,feature,importance
activity_reduction,daylight_inactive_fraction,0.011482431553304195
activity_reduction,inactive_fraction,0.01118380669504404
activity_reduction,heart_rate_std,0.007023321930319071
activity_reduction,temp_delta_mean,0.006081727333366871
activity_reduction,temperature_hr_corr,0.006079930812120438
activity_reduction,spo2_delta_min,0.005710214842110872
activity_reduction,spo2_delta_mean,0.004985591862350702
activity_reduction,heart_rate_max,0.004483213182538748
activity_reduction,spo2_min,0.004445723723620176
activity_reduction,spo2_slope,0.004413099028170109
activity_reduction,hr_delta_mean,0.004043846391141415
activity_reduction,temperature_mean,0.003918779082596302
activity_reduction,hr_delta_max,0.0038988327141851187
activity_reduction,heart_rate_min,0.002969656139612198
activity_reduction,heart_rate_mean,0.0028806317131966352
activity_reduction,spo2_std,0.0028444407507777214
activity_reduction,light_slope,0.0027005840092897415
activity_reduction,temperature_std,0.002599104540422559
activity_reduction,temperature_slope,0.002314650919288397
activity_reduction,light_std,0.0018482236191630363
activity_reduction,hr_speed_corr,0.0017972702626138926
activity_reduction,active_fraction,0.0016165463021025062
activity_reduction,hour_sin_mean,0.001589363906532526
activity_reduction,spo2_max,0.0015467037446796894
activity_reduction,heart_rate_slope,0.0014510572655126452
activity_reduction,hour_cos_mean,0.0014063093112781644
activity_reduction,gps_speed_mps_slope,0.0013799179578199983
activity_reduction,baseline_hr,0.0013232319615781307
activity_reduction,temperature_max,0.0007860943442210555
activity_reduction,temperature_min,0.0
activity_reduction,gps_speed_mps_max,0.0
activity_reduction,temp_delta_max,0.0
activity_reduction,low_spo2_fraction,0.0
activity_reduction,high_hr_while_inactive,0.0
activity_reduction,age_years,0.0
activity_reduction,weight_kg,0.0
activity_reduction,species_code,0.0
activity_reduction,baseline_temp,0.0
activity_reduction,baseline_spo2,0.0
fever,temperature_max,0.5628621578216553
fever,temp_delta_mean,0.33789870142936707
fever,temperature_mean,0.04862351343035698
fever,baseline_hr,0.019611500203609467
fever,temperature_slope,0.005392840597778559
fever,heart_rate_min,0.003982651513069868
fever,hr_delta_max,0.003436713945120573
fever,temperature_std,0.0023784853983670473
fever,temp_delta_max,0.0023643935564905405
fever,heart_rate_max,0.0023608210030943155
fever,heart_rate_std,0.002126951003447175
fever,heart_rate_slope,0.0020486812572926283
fever,spo2_std,0.0015676815528422594
fever,light_slope,0.001511547015979886
fever,spo2_min,0.0014465264976024628
fever,heart_rate_mean,0.0014463842380791903
fever,light_mean,0.0007574517512694001
fever,light_std,9.473534009885043e-05
fever,spo2_slope,8.825640543363988e-05
fever,spo2_mean,0.0
fever,spo2_max,0.0
fever,temperature_min,0.0
fever,light_min,0.0
fever,light_max,0.0
fever,gps_speed_mps_mean,0.0
fever,gps_speed_mps_std,0.0
fever,gps_speed_mps_min,0.0
fever,gps_speed_mps_max,0.0
fever,gps_speed_mps_slope,0.0
fever,hr_delta_mean,0.0
fever,spo2_delta_mean,0.0
fever,spo2_delta_min,0.0
fever,low_spo2_fraction,0.0
fever,inactive_fraction,0.0
fever,active_fraction,0.0
fever,daylight_inactive_fraction,0.0
fever,high_hr_while_inactive,0.0
fever,hr_speed_corr,0.0
fever,temperature_hr_corr,0.0
fever,hour_sin_mean,0.0
fever,hour_cos_mean,0.0
fever,age_years,0.0
fever,weight_kg,0.0
fever,species_code,0.0
fever,baseline_temp,0.0
fever,baseline_spo2,0.0
hypoxemia,spo2_delta_mean,0.4196394681930542
hypoxemia,low_spo2_fraction,0.35574913024902344
hypoxemia,spo2_mean,0.21957115828990936
hypoxemia,spo2_delta_min,0.005040256306529045
hypoxemia,heart_rate_mean,0.0
hypoxemia,heart_rate_std,0.0
hypoxemia,heart_rate_min,0.0
hypoxemia,heart_rate_max,0.0
hypoxemia,heart_rate_slope,0.0
hypoxemia,spo2_std,0.0
hypoxemia,spo2_min,0.0
hypoxemia,spo2_max,0.0
hypoxemia,spo2_slope,0.0
hypoxemia,temperature_mean,0.0
hypoxemia,temperature_std,0.0
hypoxemia,temperature_min,0.0
hypoxemia,temperature_max,0.0
hypoxemia,temperature_slope,0.0
hypoxemia,light_mean,0.0
hypoxemia,light_std,0.0
hypoxemia,light_min,0.0
hypoxemia,light_max,0.0
hypoxemia,light_slope,0.0
hypoxemia,gps_speed_mps_mean,0.0
hypoxemia,gps_speed_mps_std,0.0
hypoxemia,gps_speed_mps_min,0.0
hypoxemia,gps_speed_mps_max,0.0
hypoxemia,gps_speed_mps_slope,0.0
hypoxemia,hr_delta_mean,0.0
hypoxemia,hr_delta_max,0.0
hypoxemia,temp_delta_mean,0.0
hypoxemia,temp_delta_max,0.0
hypoxemia,inactive_fraction,0.0
hypoxemia,active_fraction,0.0
hypoxemia,daylight_inactive_fraction,0.0
hypoxemia,high_hr_while_inactive,0.0
hypoxemia,hr_speed_corr,0.0
hypoxemia,temperature_hr_corr,0.0
hypoxemia,hour_sin_mean,0.0
hypoxemia,hour_cos_mean,0.0
hypoxemia,age_years,0.0
hypoxemia,weight_kg,0.0
hypoxemia,species_code,0.0
hypoxemia,baseline_hr,0.0
hypoxemia,baseline_temp,0.0
hypoxemia,baseline_spo2,0.0
